ID	FREQUENCY	Danish	Dutch	English	German	Icelandic	Norwegian	Swedish	COGIDS	CONCEPTS
1	1	øˀ	Ø	Ø	Ø	eiː	øː	ø	33:1	die (V)
1	1	ø	Ø	Ø	Ø	œː	œ	ø	83:2	meat
2	1	ø	ʉ	ɪ	ʏ	ʏ	y	u	178:1	thin
1	2	ðˀ	t	d	t	ð	d	d	103:2, 116:2	red / skin
2	1	ðˀ	t	t	s	t	t	t	156:2	white
3	1	ðˀ	-	ð	d	ð	-	d	47:3	feather
1	6	ð	t	t	s	t	t	t	13:3, 17:2, 42:1, 53:2, 70:2, 134:4	big / bite (V) / eat (V) / foot / know (V) / tail
2	2	ð	t	t	t͡s	t	t	tː	83:3, 114:2	meat / sit (V)
3	2	ð	t	d	t	ð	d	d	61:4, 72:3	head / leaf
4	1	ð	l	t	l	t	Ø	t	106:5	root
5	1	ð	t	d	t	θ	-	d	20:3	blood
1	2	æː	Ø	Ø	Ø	aː	ɑː	aː	9:1, 132:1	belly / tail
1	1	æˀ	ɑ	ɔː	a	a	ɑ	a	1:0	all
1	3	æ	ɛ	ɛ	ɛ	Ø	Ø	ɛ	32:2, 87:2, 93:1	die (V) / mountain / neck
2	2	æ	ɑ	ɑː	ɛ	a	ɑ	ɛ	-4:1, 63:1	bark / heart
3	1	æ	ɛ	ɑː	ɛ	a	æː	ɛː	126:3	star
4	1	æ	ɛ	ɑː	ɛ	Ø	Ø	ɛ	163:2	far
1	3	Ø	aː	iː	aː	a	ɑ	a	112:1, 119:2, 180:1	seed / sleep (V) / worm
2	2	Ø	aː	-	Ø	ɪ	ə	ɛ	80:3, 134:2	many / tail
3	2	Ø	t	d	m	Ø	Ø	-	112:2, 134:1	seed / tail
4	1	Ø	yː	aɪə	ɔyə	Ø	Ø	Ø	48:1	fire
5	1	Ø	oː	aɪ	ɔ	Ø	Ø	Ø	38:2	dry
6	1	Ø	Ø	-	Ø	ð	t	t	80:4	many
7	1	Ø	Ø	ə	-	Ø	Ø	Ø	159:3	woman
