ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	EDITID	TURCHINID	LEXSTATID	ALIGNMENT
1922	Mangareva	Mangareva	mang1401	646	ash	e'u	e'u	POLLEX	321562	1183			ʔ e ʔ u	1 7 1 7	AXBZ	HEHY	2	2.H.C 2.E.V 2.H.C 2.Y.V	2.0 1.5 1.75 0.8	ʔeʔu	0	80	112	139	90	- - - - ʔ e ʔ u
3137	Sikaiana	Sikaiana	sika1261	646	ash	lehu	lehu	POLLEX	52008	1183			l e h u	5 7 3 7	AXBZ	LEHY	8	8.L.C 8.E.V 8.H.C 8.Y.V	2.0 1.5 1.75 0.8	lehu	0	80	112	136	90	- - - - l e h u
3382	North_Marquesan	Marquesan	nort2845	646	ash	ke/'ehu/	'ehu	POLLEX	79579	1183		kehu/ahi // 'ehu/ahi // kaàhu // ànahu	ʔ e h u	1 7 3 7	AXBZ	HEHY	4	4.H.C 4.E.V 4.H.C 4.Y.V	2.0 1.5 1.75 0.8	ʔehu	0	80	112	139	90	- - - - ʔ e h u
4426	Ra’ivavae	Ra'ivavae	aust1304	1461	at	i	i	Tamaititahio-1213-2015	291312	11			i	7	X	I	6	6.I.V	1.5	i	0	86	118	142	96	- i
4619	Tuamotuan	Tuamotu	tuam1242	1461	at	tei	tei	POLLEX	122913	948			t e i	1 7 7	AXZ	TEI	10	10.T.C 10.E.V 10.I.V	2.0 1.5 0.8	tei	0	95	120	151	98	t e i
4620	Tuamotuan	Tuamotu	tuam1242	1461	at	i	i	POLLEX	122912	11			i	7	X	I	10	10.I.V	1.5	i	0	86	118	142	96	- i
763	Maori	Maori	maor1246	1461	at	hei	hei	Biggs-85-2005	122909	948		kei	h e i	3 7 7	AXZ	HEI	3	3.H.C 3.E.V 3.I.V	2.0 1.5 0.8	hei	0	88	120	142	98	h e i
764	Maori	Maori	maor1246	1461	at	i	i	Biggs-85-2005	122907	11			i	7	X	I	3	3.I.V	1.5	i	0	86	118	142	96	- i
5141	Rurutuan	Rurutuan	aust1304	1461	at	i	i	Meyer-128-2005	61532	11			i	7	X	I	7	7.I.V	1.5	i	0	86	118	142	96	- i
1208	Tahitian	Tahitian (Modern)	tahi1242	1461	at	i	i	Clark-173-2005	61577	11			i	7	X	I	9	9.I.V	1.5	i	0	86	118	142	96	- i
