ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	EDITID	TURCHINID	LEXSTATID	ALIGNMENT
5619	Hawaiian	Hawaiian	hawa1245	492	Three	kolu	kolu	71458	70738	8			k o l u	1 7 5 7	AXBZ	KULY	1	1.K.C 1.U.V 1.L.C 1.Y.V	2.0 1.5 1.75 0.8	kolu	0	50	74	89	54	k o l u
1858	Mangareva	Mangareva	mang1401	492	Three	toru	toru	POLLEX	321436	8		toru	t o r u	1 7 5 7	AXBZ	TURY	2	2.T.C 2.U.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	toru	0	51	74	90	54	t o r u
3081	Sikaiana	Sikaiana	sika1261	492	Three	tolu	tolu	POLLEX	70929	8			t o l u	1 7 5 7	AXBZ	TULY	8	8.T.C 8.U.V 8.L.C 8.Y.V	2.0 1.5 1.75 0.8	tolu	0	51	74	90	54	t o l u
3302	North_Marquesan	Marquesan	nort2845	492	Three	to'u	to'u	POLLEX	70724	8			t o ʔ u	1 7 1 7	AXBZ	TUHY	4	4.T.C 4.U.V 4.H.C 4.Y.V	2.0 1.5 1.75 0.8	toʔu	0	51	74	92	54	t o ʔ u
4392	Ra’ivavae	Ra'ivavae	aust1304	1710	Twenty	piti ʔahuGu	piti ʔahuGu	Tamaititahio-1213-2015	291340	646			p i t i ʔ a h u ɢ u	1 7 1 7 1 7 3 7 1 7	AXBYBYBYBZ	PITIHAHYKY	6	6.P.C 6.I.V 6.T.C 6.I.V 6.H.C 6.A.V 6.H.C 6.Y.V 6.K.C 6.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pitiʔahuɢu	0	56	79	99	59	p i t i ʔ a h u ɢ u
721	Maori	Maori	maor1246	1710	Twenty	rua tekau	rua tekau	Biggs-85-2005	83388	666			r u a t e k a u	5 7 7 1 7 1 7 7	AXYBYBYZ	RYATEKAY	3	3.R.C 3.Y.V 3.A.V 3.T.C 3.E.V 3.K.C 3.A.V 3.Y.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 0.8	ruatekau	0	53	77	97	56	r u a t e k a u
5098	Rurutuan	Rurutuan	aust1304	1710	Twenty	piti ʔaʔuru	piti ʔaʔuru	Meyer-128-2005	165159	646			p i t i ʔ a ʔ u r u	1 7 1 7 1 7 1 7 5 7	AXBYBYBYBZ	PITIHAHYRY	7	7.P.C 7.I.V 7.T.C 7.I.V 7.H.C 7.A.V 7.H.C 7.Y.V 7.R.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pitiʔaʔuru	0	56	79	99	59	p i t i ʔ a ʔ u r u
1165	Tahitian	Tahitian (Modern)	tahi1242	1710	Twenty	piti 'ahuru	piti 'ahuru	Clark-173-2005	102830	646			p i t i ʔ a h u r u	1 7 1 7 1 7 3 7 5 7	AXBYBYBYBZ	PITIHAHYRY	9	9.P.C 9.I.V 9.T.C 9.I.V 9.H.C 9.A.V 9.H.C 9.Y.V 9.R.C 9.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pitiʔahuru	0	56	79	99	59	p i t i ʔ a h u r u
1166	Tahitian	Tahitian (Modern)	tahi1242	1710	Twenty	ta'au	ta'au	Clark-173-2005	83390	805			t a ʔ a u	1 7 1 7 7	AXBYZ	TAHAY	9	9.T.C 9.A.V 9.H.C 9.A.V 9.Y.V	2.0 1.5 1.75 1.3 0.8	taʔau	0	53	76	102	56	- - - t a ʔ a u
5610	Hawaiian	Hawaiian	hawa1245	1710	Twenty	iwakālua	iwakālua	71458	131867	947			i w a k aː l u a	7 6 7 1 7 5 7 7	XBYBYBYZ	IWAKALYA	1	1.I.V 1.W.C 1.A.V 1.K.C 1.A.V 1.L.C 1.Y.V 1.A.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	iwakaːlua	0	52	75	95	55	i w a k aː l u a
1850	Mangareva	Mangareva	mang1401	1710	Twenty	takau	takau	POLLEX	321432	805			t a k a u	1 7 1 7 7	AXBYZ	TAKAY	2	2.T.C 2.A.V 2.K.C 2.A.V 2.Y.V	2.0 1.5 1.75 1.3 0.8	takau	0	53	76	96	56	- - - t a k a u
3293	North_Marquesan	Marquesan	nort2845	1710	Twenty	tekau	tekau	POLLEX	83387	805			t e k a u	1 7 1 7 7	AXBYZ	TEKAY	4	4.T.C 4.E.V 4.K.C 4.A.V 4.Y.V	2.0 1.5 1.75 1.3 0.8	tekau	0	53	76	96	56	- - - t e k a u
4401	Ra’ivavae	Ra'ivavae	aust1304	1498	Two	piti	piti	Tamaititahio-1213-2015	291331	806			p i t i	1 7 1 7	AXBZ	PITI	6	6.P.C 6.I.V 6.T.C 6.I.V	2.0 1.5 1.75 0.8	piti	0	62	85	108	65	p i t i
4598	Tuamotuan	Tuamotu	tuam1242	1498	Two	rua	rua	POLLEX	70575	9			r u a	5 7 7	AXZ	RYA	10	10.R.C 10.Y.V 10.A.V	2.0 1.5 0.8	rua	0	57	80	103	60	r u a
731	Maori	Maori	maor1246	1498	Two	rua	rua	Biggs-85-2005	87871	9			r u a	5 7 7	AXZ	RYA	3	3.R.C 3.Y.V 3.A.V	2.0 1.5 0.8	rua	0	57	80	103	60	r u a
5107	Rurutuan	Rurutuan	aust1304	1498	Two	rua	rua	Meyer-128-2005	118904	9			r u a	5 7 7	AXZ	RYA	7	7.R.C 7.Y.V 7.A.V	2.0 1.5 0.8	rua	0	57	80	103	60	r u a
5108	Rurutuan	Rurutuan	aust1304	1498	Two	piti	piti	Meyer-128-2005	118903	806			p i t i	1 7 1 7	AXBZ	PITI	7	7.P.C 7.I.V 7.T.C 7.I.V	2.0 1.5 1.75 0.8	piti	0	62	85	108	65	p i t i
1176	Tahitian	Tahitian (Modern)	tahi1242	1498	Two	piti	piti	Clark-173-2005	70502	806			p i t i	1 7 1 7	AXBZ	PITI	9	9.P.C 9.I.V 9.T.C 9.I.V	2.0 1.5 1.75 0.8	piti	0	62	85	108	65	p i t i
5620	Hawaiian	Hawaiian	hawa1245	1498	Two	lua	lua	71458	70381	9			l u a	5 7 7	AXZ	LYA	1	1.L.C 1.Y.V 1.A.V	2.0 1.5 0.8	lua	0	57	80	103	60	l u a
1601	Rapanui	Rapanui (Easter Island)	rapa1244	1498	Two	rua	rua	POLLEX	70593	9			r u a	5 7 7	AXZ	RYA	5	5.R.C 5.Y.V 5.A.V	2.0 1.5 0.8	rua	0	57	80	103	60	r u a
1859	Mangareva	Mangareva	mang1401	1498	Two	rua	rua	POLLEX	321437	9		rua	r u a	5 7 7	AXZ	RYA	2	2.R.C 2.Y.V 2.A.V	2.0 1.5 0.8	rua	0	57	80	103	60	r u a
3082	Sikaiana	Sikaiana	sika1261	1498	Two	lua	lua	POLLEX	70572	9			l u a	5 7 7	AXZ	LYA	8	8.L.C 8.Y.V 8.A.V	2.0 1.5 0.8	lua	0	57	80	103	60	l u a
3303	North_Marquesan	Marquesan	nort2845	1498	Two	'ua	'ua	POLLEX	70367	9			ʔ u a	1 7 7	AXZ	HYA	4	4.H.C 4.Y.V 4.A.V	2.0 1.5 0.8	ʔua	0	60	80	106	60	ʔ u a
4424	Ra’ivavae	Ra'ivavae	aust1304	1741	above	Guʔa	Guʔa	Tamaititahio-1213-2015	291314	1382			ɢ u ʔ a	1 7 1 7	AXBZ	KYHA	6	6.K.C 6.Y.V 6.H.C 6.A.V	2.0 1.5 1.75 0.8	ɢuʔa	0	68	91	114	71	ɢ u ʔ a
4617	Tuamotuan	Tuamotu	tuam1242	1741	above	ruŋa	ruŋa	POLLEX	62364	1382			r u ŋ a	5 7 4 7	AXBZ	RYNA	10	10.R.C 10.Y.V 10.N.C 10.A.V	2.0 1.5 1.75 0.8	ruŋa	0	63	87	110	66	- r u ŋ a
761	Maori	Maori	maor1246	1741	above	i runga	i runga	Biggs-85-2005	62203	1382			i r u ŋ a	7 5 7 4 7	XBYBZ	IRYNA	3	3.I.V 3.R.C 3.Y.V 3.N.C 3.A.V	1.5 1.75 1.3 1.75 0.8	iruŋa	0	63	87	109	66	i r u ŋ a
5139	Rurutuan	Rurutuan	aust1304	1741	above	nuʔa	nuʔa	Meyer-128-2005	62246	1382			n u ʔ a	4 7 1 7	AXBZ	NYHA	7	7.N.C 7.Y.V 7.H.C 7.A.V	2.0 1.5 1.75 0.8	nuʔa	0	68	91	115	71	n u ʔ a
1206	Tahitian	Tahitian (Modern)	tahi1242	1741	above	ni'a	ni'a	Clark-173-2005	62291	1382			n i ʔ a	4 7 1 7	AXBZ	NIHA	9	9.N.C 9.I.V 9.H.C 9.A.V	2.0 1.5 1.75 0.8	niʔa	0	68	91	115	71	n i ʔ a
5650	Hawaiian	Hawaiian	hawa1245	1741	above	i luna	i luna	71458	62170	1382			i l u n a	7 5 7 4 7	XBYBZ	ILYNA	1	1.I.V 1.L.C 1.Y.V 1.N.C 1.A.V	1.5 1.75 1.3 1.75 0.8	iluna	0	63	86	109	66	i l u n a
1630	Rapanui	Rapanui (Easter Island)	rapa1244	1741	above	ruga	ruga	POLLEX	133515	1382		ruŋa	r u g a	5 7 1 7	AXBZ	RYKA	5	5.R.C 5.Y.V 5.K.C 5.A.V	2.0 1.5 1.75 0.8	ruga	0	67	87	113	66	- r u g a
1883	Mangareva	Mangareva	mang1401	1741	above	runga	runga	POLLEX	321572	1382		ruga	r u ŋ a	5 7 4 7	AXBZ	RYNA	2	2.R.C 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	ruŋa	0	63	87	110	66	- r u ŋ a
3332	North_Marquesan	Marquesan	nort2845	1741	above	'una	'una	POLLEX	120848	1382		'uka	ʔ u n a	1 7 4 7	AXBZ	HYNA	4	4.H.C 4.Y.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	ʔuna	0	63	86	112	66	- ʔ u n a
