# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	TID	EDITID	SCAID	INFOMAPID	ALIGNMENT
728	Maori	Maori	maor1246	493	Five	rima	rima	Biggs-85-2005	83762	2			r i m a	5 7 4 7	AXBZ	RIMA	3	3.R.C 3.I.V 3.M.C 3.A.V	2.0 1.5 1.75 0.8	rima	0	11	11	6	6	6	r i m a
5104	Rurutuan	Rurutuan	aust1304	493	Five	pae	pae	Meyer-128-2005	165165	1381			p a e	1 7 7	AXZ	PAE	7	7.P.C 7.A.V 7.E.V	2.0 1.5 0.8	pae	0	16	16	11	11	7	p a e
1172	Tahitian	Tahitian (Modern)	tahi1242	493	Five	pae	pae	Clark-173-2005	102827	1381			p a e	1 7 7	AXZ	PAE	9	9.P.C 9.A.V 9.E.V	2.0 1.5 0.8	pae	0	16	16	11	11	7	p a e
1173	Tahitian	Tahitian (Modern)	tahi1242	493	Five	rima	rima	Clark-173-2005	83770	2			r i m a	5 7 4 7	AXBZ	RIMA	9	9.R.C 9.I.V 9.M.C 9.A.V	2.0 1.5 1.75 0.8	rima	0	11	11	6	6	6	r i m a
5617	Hawaiian	Hawaiian	hawa1245	493	Five	lima	lima	71458	83759	2			l i m a	5 7 4 7	AXBZ	LIMA	1	1.L.C 1.I.V 1.M.C 1.A.V	2.0 1.5 1.75 0.8	lima	0	11	11	6	6	6	l i m a
1598	Rapanui	Rapanui (Easter Island)	rapa1244	493	Five	rima	rima	POLLEX	130629	2			r i m a	5 7 4 7	AXBZ	RIMA	5	5.R.C 5.I.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	rima	0	11	11	6	6	6	r i m a
1856	Mangareva	Mangareva	mang1401	493	Five	rima	rima	POLLEX	321425	2		rima	r i m a	5 7 4 7	AXBZ	RIMA	2	2.R.C 2.I.V 2.M.C 2.A.V	2.0 1.5 1.75 0.8	rima	0	11	11	6	6	6	r i m a
3079	Sikaiana	Sikaiana	sika1261	493	Five	lima	lima	POLLEX	83781	2			l i m a	5 7 4 7	AXBZ	LIMA	8	8.L.C 8.I.V 8.M.C 8.A.V	2.0 1.5 1.75 0.8	lima	0	11	11	6	6	6	l i m a
3300	North_Marquesan	Marquesan	nort2845	493	Five	'ima	'ima	POLLEX	83758	2			ʔ i m a	1 7 4 7	AXBZ	HIMA	4	4.H.C 4.I.V 4.M.C 4.A.V	2.0 1.5 1.75 0.8	ʔima	0	14	14	6	6	6	ʔ i m a
#
