ID	FREQUENCY	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuolo	Zhoucheng	COGIDS	CONCEPTS
25	1	Ø	q	q	q	q	Ø	Ø	q	kʰ	460:0	swim
26	1	Ø	-	-	-	-	j	Ø	-	-	277:2	mouth
27	1	Ø	-	ɥ	ɥ	-	Ø	Ø	Ø	Ø	139:1	far
1	1	z	z	ts	z	z	s	z	z	z	155:0	give
1	4	x	x	x	x	kʰ	x	x	x	x	16:0, 142:0, 405:0, 422:0	ashes / fire / see / smoke
2	2	x	x	χ	χ	x	x	x	x	x	51:0, 156:0	black / good
3	1	x	Ø	Ø	Ø	Ø	ɣ	Ø	Ø	Ø	338:0	not
4	1	x	x	χ	qʰ	x	x	s	h	Ø	561:0	what
1	17	w	w	w	w	w	w	w	w	w	16:1, 52:1, 116:1, 133:1, 138:1, 142:1, 276:1, 278:1, 323:1, 357:0, 380:1, 393:1, 422:1, 518:1, 554:1, 605:1, 622:1	ashes / blood / ear / eye / far / fire / mouth / nose / rain / round / say / smoke / tooth / we / wind / year
2	4	w	-	-	-	-	w	-	-	w	44:2, 114:2, 188:1, 498:3	bird / ear / knee / thin
3	3	w	w	w	w	w	w	w	-	w	53:1, 102:1, 476:1	bone / come / tail
4	3	w	-	-	-	-	w	-	-	-	43:2, 153:2, 386:3	big / foot / sand
5	2	w	-	-	Ø	w	Ø	-	v	f	113:1, 321:0	ear / nose
6	2	w	w	w	w	-	w	w	w	w	104:1, 263:1	dog / moon
7	1	w	w	w	-	-	w	-	w	w	436:2	stone
1	1	tʰ	tɕ	tʰ	tʰ	ʈʰ	tʰ	tʰ	tʰ	tʰ	377:0	road
2	1	tʰ	t	t	Ø	t	ts	t	Ø	ts	291:0	neck
1	1	tɕʰ	Ø	Ø	dz	Ø	tɕʰ	Ø	Ø	tɕʰ	159:0	good
2	1	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	169:0	hear
1	3	tɕ	ts	ts	dz	ʈʂ	ts	p	z	s	13:0, 126:0, 389:0	all / ear / say
2	1	tɕ	tɕ	dʑ	dʑ	dʑ	tɕ	t	ʑ	tɕ	128:0	earth
3	1	tɕ	tsʰ	tɕ	dʑ	tsʰ	tɕ	tɕ	Ø	tɕ	282:0	near
4	1	tɕ	t	t	t	t	tɕ	t	tɕ	tɕ	253:0	many
1	1	tsʰ	tɕʰ	tsʰ	tsʰ	tɕʰ	tsʰ	tsʰ	tsʰ	tsʰ	407:0	short
1	5	ts	ts	ts	ts	ts	ts	ts	ts	ts	44:0, 59:0, 241:0, 276:0, 609:0	bird / bone / man / mouth / woman
2	4	ts	tɕ	qʰ	ts	tɕ	ts	ts	ɕ	ts	238:0, 324:0, 410:0, 604:0	man / nose / skin / wind
3	1	ts	ts	ts	ts	ts	ts	ts	Ø	t	190:0	knee
1	9	t	t	t	t	t	t	ts	t	t	111:0, 138:0, 139:0, 378:0, 397:0, 414:0, 474:0, 488:0, 500:0	ear / far / root / see / sleep / tail / that / this
2	4	t	tɕ	t	d	ʈ	t	t	d	t	54:0, 166:0, 205:0, 509:0	bone / head / knee / this
3	2	t	d	d	d	d	t	d	d	t	43:0, 239:0	big / man
4	2	t	t	t	d	ʈ	t	t	d	t	163:0, 581:0	hair / who
5	1	t	Ø	t	t	t	Ø	Ø	d	Ø	322:0	nose
1	3	sʰ	s	s	s	s	s	s	s	s	52:0, 421:0, 622:0	blood / small / year
1	1	s	s	Ø	ʈʂ	s	s	s	ʈʂ	z	212:0	know
2	1	s	Ø	s	ɕ	Ø	s	tsʰ	Ø	s	457:0	swim
3	1	s	s	s	s	s	s	s	s	s	132:0	egg
1	6	p	Ø	p	b	l	p	p	b	p	29:0, 384:0, 409:0, 458:0, 532:0, 603:0	bark / salt / skin / swim / walk(go) / wind
2	4	p	p	p	b	p	p	pʰ	b	p	60:0, 332:0, 498:0, 578:0	breast / nose / thin / white
3	2	p	ɣ	ʁ	x	ʈʂ	k	x	Ø	Ø	8:0, 542:0	all / we
4	1	p	Ø	Ø	Ø	Ø	p	pʰ	p	p	314:0	night
5	1	p	p	ɲ	j	p	p	p	p	p	515:0	tooth
1	11	n	-	-	n	-	n	n	n	-	126:3, 176:2, 274:3, 282:2, 313:2, 332:3, 353:2, 383:2, 448:2, 605:3, 614:2	ear / heart / moon / near / new / nose / person / round / sun / wind / woman
2	3	n	n	n	n	n	n	n	n	n	484:0, 502:0, 510:0	that / this / thou
3	2	n	ŋ	ŋ	ŋ	ŋ	Ø	Ø	ŋ	ŋ	84:0, 145:0	cloud / fish
4	1	n	-	-	n	-	n	-	n	-	132:2	egg
5	1	n	-	Ø	ŋ	Ø	n	-	Ø	Ø	110:2	ear
6	1	n	-	-	-	-	n	n	n	-	423:2	smoke
7	1	n	Ø	Ø	Ø	Ø	n	n	-	-	138:3	far
8	1	n	Ø	Ø	Ø	Ø	-	Ø	n	Ø	537:2	warm
