# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE	PATTERNS
8	Enqi	all	ʨa₂₄ʁo₂₁ʦi₂₂	tɕ a ²⁴ + ʁ o ²¹ + ts i ²²	3	efg	10 14 12	200 997 1156 739 887 1152 15 1076 1150	98	nort2724	2 7 8 9 5 7 8 9 2 7 8	AXT_AXT_AXT	CA2_RU3_CI1	3	3.C.C 3.A.V 3.2.T 3._._ 3.R.C 3.U.V 3.3.T 3._._ 3.C.C 3.I.V 3.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 8 13	tɕ a ²⁴ ◦ ʁ o ²¹ ◦ ts i ²²	c v t + c v t + c v t	8-1/Ø 0/n 0/n + 20-2/p 0/n 0/n + 46-3/tɕ 0/n 0/n
9	Ega	all	da₅₅ŋwa₂₂	d a ⁵⁵ + ŋ w a ²²	201	cd	3 15	145 997 1189 801 462 997 1150	98	nort2724	1 7 8 9 4 6 7 8	AXT_ACXT	TA5_NWA1	2	2.T.C 2.A.V 2.5.T 2._._ 2.N.C 2.W.C 2.A.V 2.1.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0	9 10	d a ⁵⁵ ◦ ŋ w a ²²	c v t + c c v t	8-1/Ø 0/n 0/n + 0/n 0/n 0/n 0/n
#
10	Gongxing	ashes	xwɛ₂₂ɕy₅₅ʁwa₁₂	x w ɛ ²² + ɕ y ⁵⁵ + ʁ w a ¹²	58	acd	16 17 18	778 462 1121 1150 204 1047 1189 739 462 997 1167	646	nort2724	3 6 7 8 9 3 7 8 9 5 6 7 8	ACXT_AXT_ACXT	GWE1_SY5_RWA2	4	4.G.C 4.W.C 4.E.V 4.1.T 4._._ 4.S.C 4.Y.V 4.5.T 4._._ 4.R.C 4.W.C 4.A.V 4.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0	16 18 23	x w ɛ ²² ◦ ɕ y ⁵⁵ ◦ ʁ w a ¹²	c c v t + c v t + c c v t	58-4/x 29-17/w 0/n 0/n + 110-1/Ø 0/n 0/n + 0/n 0/n 0/n 0/n
11	Jinman	ashes	kʰwa₅₅la₂₁ɕu₅₅	kʰ w a ⁵⁵ + l a ²¹ + ɕ u ⁵⁵	88	ebc	19 20 17	820 462 997 1189 554 997 1152 204 868 1189	646	nort2724	1 6 7 8 9 5 7 8 9 3 7 8	ACXT_AXT_AXT	KWA5_LA3_SY5	5	5.K.C 5.W.C 5.A.V 5.5.T 5._._ 5.L.C 5.A.V 5.3.T 5._._ 5.S.C 5.Y.V 5.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	16 17 18	kʰ w a ⁵⁵ ◦ l a ²¹ ◦ ɕ u ⁵⁵	c c v t + c v t + c v t	58-4/x 29-17/w 0/n 0/n + 141-4/l 0/n 0/n + 110-1/Ø 0/n 0/n
12	Mazhelong	ashes	xwa₃₁la₄₄su₅₅	x w a ³¹ + l a ⁴⁴ + s u ⁵⁵	59	abc	16 20 17	778 462 997 1162 554 997 1178 89 868 1189	646	sout2730	3 6 7 8 9 5 7 8 9 3 7 8	ACXT_AXT_AXT	GWA3_LA5_SY5	7	7.G.C 7.W.C 7.A.V 7.3.T 7._._ 7.L.C 7.A.V 7.5.T 7._._ 7.S.C 7.Y.V 7.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	16 17 18	x w a ³¹ ◦ l a ⁴⁴ ◦ s u ⁵⁵	c c v t + c v t + c v t	58-4/x 29-17/w 0/n 0/n + 141-4/l 0/n 0/n + 110-1/Ø 0/n 0/n
13	Zhoucheng	ashes	su₅₅	s u ⁵⁵	67	c	17	89 868 1189	646	sout2730	3 7 8	AXT	SY5	9	9.S.C 9.Y.V 9.5.T	1.6 3.0 1.0	1	27	s u ⁵⁵	c v t	63-2/ʂʰ 0/n 0/n
14	Jinxing	ashes	su₅₅	s u ⁵⁵	67	c	17	89 868 1189	646	cent2004	3 7 8	AXT	SY5	6	6.S.C 6.Y.V 6.5.T	1.6 3.0 1.0	0	27	s u ⁵⁵	c v t	63-2/ʂʰ 0/n 0/n
15	Tuolo	ashes	ʂɤ₅₅	ʂ ɤ ⁵⁵	67	c	17	705 947 1189	646	nort2724	3 7 8	AXT	SE5	8	8.S.C 8.E.V 8.5.T	1.6 3.0 1.0	0	27	ʂ ɤ ⁵⁵	c v t	63-2/ʂʰ 0/n 0/n
16	Enqi	ashes	xwi₂₂ɕu₂₄	x w i ²² + ɕ u ²⁴	57	ac	16 17	778 462 1076 1150 204 868 1156	646	nort2724	3 6 7 8 9 3 7 8	ACXT_AXT	GWI1_SY2	3	3.G.C 3.W.C 3.I.V 3.1.T 3._._ 3.S.C 3.Y.V 3.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	0	16 18	x w i ²² ◦ ɕ u ²⁴	c c v t + c v t	58-4/x 29-17/w 0/n 0/n + 110-1/Ø 0/n 0/n
